orderID,productID,productName,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry,unitPrice,quantity,discount
10259,21,Sir Rodney's Scones,CENTC,4,00:00.0,00:00.0,00:00.0,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,M̩xico D.F.,NULL,5022,Mexico,8,10,0
10260,41,Jack's New England Clam Chowder,OTTIK,4,00:00.0,00:00.0,00:00.0,1,55.09,Ottilies K�_seladen,Mehrheimerstr. 369,K̦ln,NULL,50739,Germany,7.7,16,0.25
10261,21,Sir Rodney's Scones,QUEDE,4,00:00.0,00:00.0,00:00.0,2,3.05,Que Del�_cia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil,8,20,0
10262,5,Chef Anton's Gumbo Mix,RATTC,8,00:00.0,00:00.0,00:00.0,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,17,12,0.2
10263,16,Pavlova,ERNSH,9,00:00.0,00:00.0,00:00.0,3,146.06,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria,13.9,60,0.25
10264,2,Chang,FOLKO,6,00:00.0,00:00.0,00:00.0,3,3.67,Folk och f�_ HB,��kergatan 24,Br�_cke,NULL,S-844 67,Sweden,15.2,35,0
10265,17,Alice Mutton,BLONP,2,00:00.0,00:00.0,00:00.0,1,55.28,Blondel p̬re et fils,24 place Kl̩ber,Strasbourg,NULL,67000,France,31.2,30,0
10266,12,Queso Manchego La Pastora,WARTH,3,00:00.0,00:00.0,00:00.0,3,25.73,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland,30.4,12,0.05
10267,40,Boston Crab Meat,FRANK,4,00:00.0,00:00.0,00:00.0,1,208.58,Frankenversand,Berliner Platz 43,M�_nchen,NULL,80805,Germany,14.7,50,0
10268,29,Th�_ringer Rostbratwurst,GROSR,8,00:00.0,00:00.0,00:00.0,3,66.29,GROSELLA-Restaurante,5� Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,99,10,0
10269,33,Geitost,WHITC,5,00:00.0,00:00.0,00:00.0,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,2,60,0.05
10270,36,Inlagd Sill,WARTH,1,00:00.0,00:00.0,00:00.0,1,136.54,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland,15.2,30,0
10271,33,Geitost,SPLIR,6,00:00.0,00:00.0,00:00.0,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,2,24,0
10272,20,Sir Rodney's Marmalade,RATTC,6,00:00.0,00:00.0,00:00.0,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,64.8,6,0
10273,10,Ikura,QUICK,3,00:00.0,00:00.0,00:00.0,3,76.07,QUICK-Stop,Taucherstra��e 10,Cunewalde,NULL,1307,Germany,24.8,24,0.05
10274,71,Flotemysost,VINET,6,00:00.0,00:00.0,00:00.0,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France,17.2,20,0
10275,24,Guaran�� Fant��stica,MAGAA,1,00:00.0,00:00.0,00:00.0,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy,3.6,12,0.05
10276,10,Ikura,TORTU,8,00:00.0,00:00.0,00:00.0,3,13.84,Tortuga Restaurante,Avda. Azteca 123,M̩xico D.F.,NULL,5033,Mexico,24.8,15,0
10277,28,R̦ssle Sauerkraut,MORGK,2,00:00.0,00:00.0,00:00.0,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,NULL,4179,Germany,36.4,20,0
10278,44,Gula Malacca,BERGS,8,00:00.0,00:00.0,00:00.0,2,92.69,Berglunds snabbk̦p,Berguvsv�_gen  8,Lule̴,NULL,S-958 22,Sweden,15.5,16,0
10279,17,Alice Mutton,LEHMS,8,00:00.0,00:00.0,00:00.0,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany,31.2,15,0.25
10280,24,Guaran�� Fant��stica,BERGS,2,00:00.0,00:00.0,00:00.0,1,8.98,Berglunds snabbk̦p,Berguvsv�_gen  8,Lule̴,NULL,S-958 22,Sweden,3.6,12,0
10281,19,Teatime Chocolate Biscuits,ROMEY,4,00:00.0,00:00.0,00:00.0,1,2.94,Romero y tomillo,Gran V�_a 1,Madrid,NULL,28001,Spain,7.3,1,0
10282,30,Nord-Ost Matjeshering,ROMEY,4,00:00.0,00:00.0,00:00.0,1,12.69,Romero y tomillo,Gran V�_a 1,Madrid,NULL,28001,Spain,20.7,6,0
10283,15,Genen Shouyu,LILAS,3,00:00.0,00:00.0,00:00.0,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bol�_var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,12.4,20,0
10284,27,Schoggi Schokolade,LEHMS,4,00:00.0,00:00.0,00:00.0,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany,35.1,15,0.25
10285,1,Chai,QUICK,1,00:00.0,00:00.0,00:00.0,2,76.83,QUICK-Stop,Taucherstra��e 10,Cunewalde,NULL,1307,Germany,14.4,45,0.2
10286,35,Steeleye Stout,QUICK,8,00:00.0,00:00.0,00:00.0,3,229.24,QUICK-Stop,Taucherstra��e 10,Cunewalde,NULL,1307,Germany,14.4,100,0
10287,16,Pavlova,RICAR,8,00:00.0,00:00.0,00:00.0,3,12.76,Ricardo Adocicados,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil,13.9,40,0.15
10288,54,Tourti̬re,REGGC,4,00:00.0,00:00.0,00:00.0,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy,5.9,10,0.1
10289,3,Aniseed Syrup,BSBEV,7,00:00.0,00:00.0,00:00.0,3,22.77,B's Beverages,Fauntleroy Circus,London,NULL,EC2 5NT,UK,8,30,0
10290,5,Chef Anton's Gumbo Mix,COMMI,8,00:00.0,00:00.0,00:00.0,1,79.7,Com̩rcio Mineiro,Av. dos Lus�_adas 23,Sao Paulo,SP,05432-043,Brazil,17,20,0
10291,13,Konbu,QUEDE,6,00:00.0,00:00.0,00:00.0,2,6.4,Que Del�_cia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil,4.8,20,0.1
10292,20,Sir Rodney's Marmalade,TRADH,1,00:00.0,00:00.0,00:00.0,2,1.35,Tradi̤ao Hipermercados,Av. In̻s de Castro 414,Sao Paulo,SP,05634-030,Brazil,64.8,20,0
10293,18,Carnarvon Tigers,TORTU,1,00:00.0,00:00.0,00:00.0,3,21.18,Tortuga Restaurante,Avda. Azteca 123,M̩xico D.F.,NULL,5033,Mexico,50,12,0
10294,1,Chai,RATTC,4,00:00.0,00:00.0,00:00.0,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,14.4,18,0
10295,56,Gnocchi di nonna Alice,VINET,2,00:00.0,00:00.0,00:00.0,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France,30.4,4,0
10296,11,Queso Cabrales,LILAS,6,00:00.0,00:00.0,00:00.0,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bol�_var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,16.8,12,0
10297,39,Chartreuse verte,BLONP,5,00:00.0,00:00.0,00:00.0,2,5.74,Blondel p̬re et fils,24 place Kl̩ber,Strasbourg,NULL,67000,France,14.4,60,0
10298,2,Chang,HUNGO,6,00:00.0,00:00.0,00:00.0,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland,15.2,40,0
10299,19,Teatime Chocolate Biscuits,RICAR,4,00:00.0,00:00.0,00:00.0,2,29.76,Ricardo Adocicados,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil,7.3,15,0
10300,66,Louisiana Hot Spiced Okra,MAGAA,2,00:00.0,00:00.0,00:00.0,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy,13.6,30,0
10301,40,Boston Crab Meat,WANDK,8,00:00.0,00:00.0,00:00.0,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany,14.7,10,0
10302,17,Alice Mutton,SUPRD,4,00:00.0,00:00.0,00:00.0,2,6.27,Supr̻mes d̩lices,Boulevard Tirou 255,Charleroi,NULL,B-6000,Belgium,31.2,40,0
10303,40,Boston Crab Meat,GODOS,7,00:00.0,00:00.0,00:00.0,2,107.83,Godos Cocina T�_pica,C/ Romero 33,Sevilla,NULL,41101,Spain,14.7,40,0.1
10304,49,Maxilaku,TORTU,1,00:00.0,00:00.0,00:00.0,2,63.79,Tortuga Restaurante,Avda. Azteca 123,M̩xico D.F.,NULL,5033,Mexico,16,30,0
10305,18,Carnarvon Tigers,OLDWO,8,00:00.0,00:00.0,00:00.0,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA,50,25,0.1
10306,30,Nord-Ost Matjeshering,ROMEY,1,00:00.0,00:00.0,00:00.0,3,7.56,Romero y tomillo,Gran V�_a 1,Madrid,NULL,28001,Spain,20.7,10,0
10307,62,Tarte au sucre,LONEP,2,00:00.0,00:00.0,00:00.0,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA,39.4,10,0
10308,69,Gudbrandsdalsost,ANATR,7,00:00.0,00:00.0,00:00.0,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constituci�_n 2222,M̩xico D.F.,NULL,5021,Mexico,28.8,1,0
10309,4,Chef Anton's Cajun Seasoning,HUNGO,3,00:00.0,00:00.0,00:00.0,1,47.3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland,17.6,20,0
10310,16,Pavlova,THEBI,8,00:00.0,00:00.0,00:00.0,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA,13.9,10,0
10311,42,Singaporean Hokkien Fried Mee,DUMON,1,00:00.0,00:00.0,00:00.0,3,24.69,Du monde entier,67 rue des Cinquante Otages,Nantes,NULL,44000,France,11.2,6,0
10312,28,R̦ssle Sauerkraut,WANDK,2,00:00.0,00:00.0,00:00.0,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany,36.4,4,0
10313,36,Inlagd Sill,QUICK,2,00:00.0,00:00.0,00:00.0,2,1.96,QUICK-Stop,Taucherstra��e 10,Cunewalde,NULL,1307,Germany,15.2,12,0
10314,32,Mascarpone Fabioli,RATTC,1,00:00.0,00:00.0,00:00.0,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,25.6,40,0.1
10315,34,Sasquatch Ale,ISLAT,4,00:00.0,00:00.0,00:00.0,2,41.76,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,11.2,14,0
10316,41,Jack's New England Clam Chowder,RATTC,1,00:00.0,00:00.0,00:00.0,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,7.7,10,0
10317,1,Chai,LONEP,6,00:00.0,00:00.0,00:00.0,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA,14.4,20,0
10318,41,Jack's New England Clam Chowder,ISLAT,8,00:00.0,00:00.0,00:00.0,2,4.73,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,7.7,20,0
10319,17,Alice Mutton,TORTU,7,00:00.0,00:00.0,00:00.0,3,64.5,Tortuga Restaurante,Avda. Azteca 123,M̩xico D.F.,NULL,5033,Mexico,31.2,8,0
10320,71,Flotemysost,WARTH,5,00:00.0,00:00.0,00:00.0,3,34.57,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland,17.2,30,0
10321,35,Steeleye Stout,ISLAT,3,00:00.0,00:00.0,00:00.0,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,14.4,10,0
10322,52,Filo Mix,PERIC,7,00:00.0,00:00.0,00:00.0,3,0.4,Pericles Comidas cl��sicas,Calle Dr. Jorge Cash 321,M̩xico D.F.,NULL,5033,Mexico,5.6,20,0
10323,15,Genen Shouyu,KOENE,4,00:00.0,00:00.0,00:00.0,1,4.88,K̦niglich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany,12.4,5,0
10324,16,Pavlova,SAVEA,9,00:00.0,00:00.0,00:00.0,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,13.9,21,0.15
10325,6,Grandma's Boysenberry Spread,KOENE,1,00:00.0,00:00.0,00:00.0,3,64.86,K̦niglich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany,20,6,0
10326,4,Chef Anton's Cajun Seasoning,BOLID,4,00:00.0,00:00.0,00:00.0,2,77.92,B�_lido Comidas preparadas,C/ Araquil 67,Madrid,NULL,28023,Spain,17.6,24,0
10327,2,Chang,FOLKO,2,00:00.0,00:00.0,00:00.0,1,63.36,Folk och f�_ HB,��kergatan 24,Br�_cke,NULL,S-844 67,Sweden,15.2,25,0.2
10328,59,Raclette Courdavault,FURIB,4,00:00.0,00:00.0,00:00.0,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal,44,9,0
10329,19,Teatime Chocolate Biscuits,SPLIR,4,00:00.0,00:00.0,00:00.0,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,7.3,10,0.05
10330,26,Gumb�_r Gummib�_rchen,LILAS,3,00:00.0,00:00.0,00:00.0,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bol�_var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,24.9,50,0.15
10331,54,Tourti̬re,BONAP,9,00:00.0,00:00.0,00:00.0,1,10.19,Bon app',12 rue des Bouchers,Marseille,NULL,13008,France,5.9,15,0
10332,18,Carnarvon Tigers,MEREP,3,00:00.0,00:00.0,00:00.0,2,52.84,M̬re Paillarde,43 rue St. Laurent,Montr̩al,Qu̩bec,H1J 1C3,Canada,50,40,0.2
10333,14,Tofu,WARTH,5,00:00.0,00:00.0,00:00.0,3,0.59,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland,18.6,10,0
10334,52,Filo Mix,VICTE,8,00:00.0,00:00.0,00:00.0,2,8.56,Victuailles en stock,2 rue du Commerce,Lyon,NULL,69004,France,5.6,8,0
10335,2,Chang,HUNGO,7,00:00.0,00:00.0,00:00.0,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland,15.2,7,0.2
10336,4,Chef Anton's Cajun Seasoning,PRINI,7,00:00.0,00:00.0,00:00.0,2,15.51,Princesa Isabel Vinhos,Estrada da sa̼de n. 58,Lisboa,NULL,1756,Portugal,17.6,18,0.1
10337,23,Tunnbr̦d,FRANK,4,00:00.0,00:00.0,00:00.0,3,108.26,Frankenversand,Berliner Platz 43,M�_nchen,NULL,80805,Germany,7.2,40,0
10338,17,Alice Mutton,OLDWO,4,00:00.0,00:00.0,00:00.0,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA,31.2,20,0
10339,4,Chef Anton's Cajun Seasoning,MEREP,2,00:00.0,00:00.0,00:00.0,2,15.66,M̬re Paillarde,43 rue St. Laurent,Montr̩al,Qu̩bec,H1J 1C3,Canada,17.6,10,0
10340,18,Carnarvon Tigers,BONAP,1,00:00.0,00:00.0,00:00.0,3,166.31,Bon app',12 rue des Bouchers,Marseille,NULL,13008,France,50,20,0.05
10341,33,Geitost,SIMOB,7,00:00.0,00:00.0,00:00.0,3,26.78,Simons bistro,Vinb�_ltet 34,Kobenhavn,NULL,1734,Denmark,2,8,0
10342,2,Chang,FRANK,4,00:00.0,00:00.0,00:00.0,2,54.83,Frankenversand,Berliner Platz 43,M�_nchen,NULL,80805,Germany,15.2,24,0.2
10343,64,Wimmers gute Semmelkn̦del,LEHMS,4,00:00.0,00:00.0,00:00.0,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany,26.6,50,0
10344,4,Chef Anton's Cajun Seasoning,WHITC,4,00:00.0,00:00.0,00:00.0,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,17.6,35,0
10345,8,Northwoods Cranberry Sauce,QUICK,2,00:00.0,00:00.0,00:00.0,2,249.06,QUICK-Stop,Taucherstra��e 10,Cunewalde,NULL,1307,Germany,32,70,0
10346,17,Alice Mutton,RATTC,3,00:00.0,00:00.0,00:00.0,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,31.2,36,0.1
10347,25,NuNuCa Nu��-Nougat-Creme,FAMIA,4,00:00.0,00:00.0,00:00.0,3,3.1,Familia Arquibaldo,Rua Or�_s 92,Sao Paulo,SP,05442-030,Brazil,11.2,10,0
10348,1,Chai,WANDK,4,00:00.0,00:00.0,00:00.0,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany,14.4,15,0.15
10349,54,Tourti̬re,SPLIR,7,00:00.0,00:00.0,00:00.0,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,5.9,24,0
10350,50,Valkoinen suklaa,LAMAI,6,00:00.0,00:00.0,00:00.0,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France,13,15,0.1
10351,38,C̫te de Blaye,ERNSH,1,00:00.0,00:00.0,00:00.0,1,162.33,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria,210.8,20,0.05
10352,24,Guaran�� Fant��stica,FURIB,3,00:00.0,00:00.0,00:00.0,3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal,3.6,10,0
10353,11,Queso Cabrales,PICCO,7,00:00.0,00:00.0,00:00.0,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,NULL,5020,Austria,16.8,12,0.2
10354,1,Chai,PERIC,8,00:00.0,00:00.0,00:00.0,3,53.8,Pericles Comidas cl��sicas,Calle Dr. Jorge Cash 321,M̩xico D.F.,NULL,5033,Mexico,14.4,12,0
10355,24,Guaran�� Fant��stica,AROUT,6,00:00.0,00:00.0,00:00.0,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,3.6,25,0
10356,31,Gorgonzola Telino,WANDK,6,00:00.0,00:00.0,00:00.0,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany,10,30,0
10357,10,Ikura,LILAS,1,00:00.0,00:00.0,00:00.0,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bol�_var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,24.8,30,0.2
10358,24,Guaran�� Fant��stica,LAMAI,5,00:00.0,00:00.0,00:00.0,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France,3.6,10,0.05
10359,16,Pavlova,SEVES,5,00:00.0,00:00.0,00:00.0,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK,13.9,56,0.05
10360,28,R̦ssle Sauerkraut,BLONP,4,00:00.0,00:00.0,00:00.0,3,131.7,Blondel p̬re et fils,24 place Kl̩ber,Strasbourg,NULL,67000,France,36.4,30,0
10361,39,Chartreuse verte,QUICK,1,00:00.0,00:00.0,00:00.0,2,183.17,QUICK-Stop,Taucherstra��e 10,Cunewalde,NULL,1307,Germany,14.4,54,0.1
10362,25,NuNuCa Nu��-Nougat-Creme,BONAP,3,00:00.0,00:00.0,00:00.0,1,96.04,Bon app',12 rue des Bouchers,Marseille,NULL,13008,France,11.2,50,0
10363,31,Gorgonzola Telino,DRACD,4,00:00.0,00:00.0,00:00.0,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,NULL,52066,Germany,10,20,0
10364,69,Gudbrandsdalsost,EASTC,1,00:00.0,00:00.0,00:00.0,1,71.97,Eastern Connection,35 King George,London,NULL,WX3 6FW,UK,28.8,30,0
10365,11,Queso Cabrales,ANTON,3,00:00.0,00:00.0,00:00.0,2,22,Antonio Moreno Taquer�_a,Mataderos  2312,M̩xico D.F.,NULL,5023,Mexico,16.8,24,0
10366,65,Louisiana Fiery Hot Pepper Sauce,GALED,8,00:00.0,00:00.0,00:00.0,2,10.14,Galer�_a del gastron�_mo,Rambla de Catalu̱a 23,Barcelona,NULL,8022,Spain,16.8,5,0
10367,34,Sasquatch Ale,VAFFE,7,00:00.0,00:00.0,00:00.0,3,13.55,Vaffeljernet,Smagsloget 45,��rhus,NULL,8200,Denmark,11.2,36,0
10368,21,Sir Rodney's Scones,ERNSH,2,00:00.0,00:00.0,00:00.0,2,101.95,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria,8,5,0.1
10369,29,Th�_ringer Rostbratwurst,SPLIR,8,00:00.0,00:00.0,00:00.0,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,99,20,0
10370,1,Chai,CHOPS,6,00:00.0,00:00.0,00:00.0,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,NULL,3012,Switzerland,14.4,15,0.15
10371,36,Inlagd Sill,LAMAI,1,00:00.0,00:00.0,00:00.0,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France,15.2,6,0.2
10372,20,Sir Rodney's Marmalade,QUEEN,5,00:00.0,00:00.0,00:00.0,2,890.78,Queen Cozinha,Alameda dos Can��rios 891,Sao Paulo,SP,05487-020,Brazil,64.8,12,0.25
10373,58,Escargots de Bourgogne,HUNGO,4,00:00.0,00:00.0,00:00.0,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland,10.6,80,0.2
10374,31,Gorgonzola Telino,WOLZA,1,00:00.0,00:00.0,00:00.0,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,NULL,01-012,Poland,10,30,0
10375,14,Tofu,HUNGC,3,00:00.0,00:00.0,00:00.0,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,18.6,15,0
10376,31,Gorgonzola Telino,MEREP,1,00:00.0,00:00.0,00:00.0,2,20.39,M̬re Paillarde,43 rue St. Laurent,Montr̩al,Qu̩bec,H1J 1C3,Canada,10,42,0.05
10377,28,R̦ssle Sauerkraut,SEVES,1,00:00.0,00:00.0,00:00.0,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK,36.4,20,0.15
10378,71,Flotemysost,FOLKO,5,00:00.0,00:00.0,00:00.0,3,5.44,Folk och f�_ HB,��kergatan 24,Br�_cke,NULL,S-844 67,Sweden,17.2,6,0
10379,41,Jack's New England Clam Chowder,QUEDE,2,00:00.0,00:00.0,00:00.0,1,45.03,Que Del�_cia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil,7.7,8,0.1
10380,30,Nord-Ost Matjeshering,HUNGO,8,00:00.0,00:00.0,00:00.0,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland,20.7,18,0.1
10381,74,Longlife Tofu,LILAS,3,00:00.0,00:00.0,00:00.0,3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bol�_var #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,8,14,0
10382,5,Chef Anton's Gumbo Mix,ERNSH,4,00:00.0,00:00.0,00:00.0,1,94.77,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria,17,32,0
10383,13,Konbu,AROUT,8,00:00.0,00:00.0,00:00.0,3,34.24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,4.8,20,0
10384,20,Sir Rodney's Marmalade,BERGS,3,00:00.0,00:00.0,00:00.0,3,168.64,Berglunds snabbk̦p,Berguvsv�_gen  8,Lule̴,NULL,S-958 22,Sweden,64.8,28,0
10385,7,Uncle Bob's Organic Dried Pears,SPLIR,1,00:00.0,00:00.0,00:00.0,2,30.96,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,24,10,0.2
10386,24,Guaran�� Fant��stica,FAMIA,9,00:00.0,00:00.0,00:00.0,3,13.99,Familia Arquibaldo,Rua Or�_s 92,Sao Paulo,SP,05442-030,Brazil,3.6,15,0
10387,24,Guaran�� Fant��stica,SANTG,1,00:00.0,00:00.0,00:00.0,2,93.63,Sant̩ Gourmet,Erling Skakkes gate 78,Stavern,NULL,4110,Norway,3.6,15,0
10388,45,Rogede sild,SEVES,2,00:00.0,00:00.0,00:00.0,1,34.86,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK,7.6,15,0.2
10389,10,Ikura,BOTTM,4,00:00.0,00:00.0,00:00.0,2,47.42,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,24.8,16,0
10390,31,Gorgonzola Telino,ERNSH,6,00:00.0,00:00.0,00:00.0,1,126.38,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria,10,60,0.1
